"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Semi-supervised Deep Learning via Transformation Consistency Regularization for Remote Sensing Image Semantic Segmentation","B. Zhang; Y. Zhang; Y. Li; Y. Wan; H. Guo; Z. Zheng; K. Yang","Department of Photogrammetry, School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Department of Photogrammetry, School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Department of Photogrammetry, School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Department of Photogrammetry, School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Department of Photogrammetry, School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Department of Photogrammetry, School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; Basic Geographic Information Center of Guizhou Province, Guizhou, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"10 Jul 2023","2023","16","","5782","5796","Deep convolutional neural networks have gotten a lot of press in the last several years, especially in domains like computer vision and remote sensing (RS). However, achieving superior performance with deep networks highly depends on a massive number of accurately labeled training samples. In real-world applications, gathering a large number of labeled samples is time consuming and labor intensive, especially for pixel-level data annotation. This dearth of labels in land-cover classification is especially pressing in the RS domain because high-precision high-quality labeled samples are extremely difficult to acquire, but unlabeled data are readily available. In this study, we offer a new semisupervised deep semantic labeling framework for the semantic segmentation of high-resolution RS images to take advantage of the limited amount of labeled examples and numerous unlabeled samples. Our model uses transformation consistency regularization to encourage consistent network predictions under different random transformations or perturbations. We try three different transforms to compute the consistency loss and analyze their performance. Then, we present a deep semisupervised semantic labeling technique by using a hybrid transformation consistency regularization. A weighted sum of losses, which contains a supervised term computed on labeled samples and an unsupervised regularization term computed on unlabeled data, may be used to update the network parameters in our technique. Our comprehensive experiments on two RS datasets confirmed that the suggested approach utilized latent information from unlabeled samples to obtain more precise predictions and outperformed existing semisupervised algorithms in terms of performance. Our experiments further demonstrated that our semisupervised semantic labeling strategy has the potential to partially tackle the problem of limited labeled samples for high-resolution RS image land-cover segmentation.","2151-1535","","10.1109/JSTARS.2022.3203750","National Natural Science Foundation of China(grant numbers:42030102,41971284); Hubei Natural Science Foundation(grant numbers:2020CFA003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9875010","Consistency regularization;convolutional neural network (CNN);semantic segmentation;semisupervised learning (SSL);unlabeled data;remote sensing (RS) imagery","Semantics;Image segmentation;Labeling;Feature extraction;Perturbation methods;Earth;Deep learning","","21","","70","CCBYNCND","2 Sep 2022","","","IEEE","IEEE Journals"
"Domain Adaptive Semantic Segmentation via Regional Contrastive Consistency Regularization","Q. Zhou; C. Zhuang; R. Yi; X. Lu; L. Ma",Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Deakin University; Shanghai Jiao Tong University,2022 IEEE International Conference on Multimedia and Expo (ICME),"26 Aug 2022","2022","","","01","06","Unsupervised domain adaptation (UDA) for semantic seg-mentation has been well-studied in recent years. However, most existing works largely neglect the local regional consis-tency across different domains, and are less robust to changes in outdoor environments. In this paper, we propose a novel and fully end-to-end trainable approach, called regional contrastive consistency regularization (RCCR) for domain adaptive semantic segmentation. Our core idea is to pull the sim-ilar regional features extracted from the same location of dif-ferent images, i.e., the original image and augmented image, to be closer, and meanwhile push the features from the dif-ferent locations of the two images to be separated. We pro-pose a region-wise contrastive loss with two sampling strate-gies to realize effective regional consistency. Besides, we present momentum projection heads, where the teacher pro-jection head is the exponential moving average of the student. Finally, a memory bank mechanism is designed to learn more robust and stable region-wise features under varying environ-ments. Extensive experiments demonstrate that our approach outperforms the state-of-the-art methods.","1945-788X","978-1-6654-8563-0","10.1109/ICME52920.2022.9859793","National Key Research and Development Program of China(grant numbers:2019YFC1521104); National Natural Science Foundation of China(grant numbers:72192821,61972157); Shanghai Science and Technology Commission(grant numbers:21511101200,22YF1420300); National Social Science Fund(grant numbers:I8ZD22); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9859793","Domain Adaptation;Semantic Segmen-tation;Contrastive Learning","Image segmentation;Head;Semantics;Feature extraction","","20","","25","IEEE","26 Aug 2022","","","IEEE","IEEE Conferences"
"Latent Space Regularization for Unsupervised Domain Adaptation in Semantic Segmentation","F. Barbato; M. Toldo; U. Michieli; P. Zanuttigh","Department of Information Engineering, University of Padova; Department of Information Engineering, University of Padova; Department of Information Engineering, University of Padova; Department of Information Engineering, University of Padova",2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"1 Sep 2021","2021","","","2829","2839","Deep convolutional neural networks for semantic segmentation achieve outstanding accuracy, however they also have a couple of major drawbacks: first, they do not generalize well to distributions slightly different from the one of the training data; second, they require a huge amount of labeled data for their optimization. In this paper, we introduce feature-level space-shaping regularization strategies to reduce the domain discrepancy in semantic segmentation. In particular, for this purpose we jointly enforce a clustering objective, a perpendicularity constraint and a norm alignment goal on the feature vectors corresponding to source and target samples. Additionally, we propose a novel measure able to capture the relative efficacy of an adaptation strategy compared to supervised training. We verify the effectiveness of such methods in the autonomous driving setting achieving state-of-the-art results in multiple synthetic-to-real road scenes benchmarks.","2160-7516","978-1-6654-4899-4","10.1109/CVPRW53098.2021.00318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9523097","","Training;Roads;Semantics;Employment;Training data;Benchmark testing;Particle measurements","","12","","55","IEEE","1 Sep 2021","","","IEEE","IEEE Conferences"
"Label Propagation and Contrastive Regularization for Semisupervised Semantic Segmentation of Remote Sensing Images","Z. Yang; Z. Yan; W. Diao; Q. Zhang; Y. Kang; J. Li; X. Li; X. Sun","Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Network Information System Technology (NIST), Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Network Information System Technology (NIST), Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; School of Electronic, Electrical and Communication Engineering, Beijing Institute of Tracking and Communication Technology, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Network Information System Technology (NIST), Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Geoscience and Remote Sensing,"31 May 2023","2023","61","","1","18","Remarkable progress based on deep neural networks has been achieved in the semantic segmentation of remote sensing images (RSIs). However, pixel-level labeling is expensive for RSIs. Semisupervised semantic segmentation becomes an alternative approach to reduce the cost of annotation, and it is crucial to utilize efficiently a large number of unlabeled data. Nevertheless, inevitably, there is an unbalanced class distribution between labeled and unlabeled data in a remote sensing scene. Existing semisupervised methods train unlabeled images in isolation from labeled images and only learn reliable pixel pseudo-labels, leading to underutilization of unlabeled images. This article proposes a novel semisupervised semantic segmentation approach based on label propagation and contrastive regularization for RSIs. Specifically, the unlabeled images are augmented by randomly copy-pasting the class regions from labeled images. A prototype feature constraint module is used to enforce the constraint on the pixel features of unlabeled images relying on the prototype features from labeled images, achieving feature alignment on the entire dataset. Furthermore, we present the region contrastive learning (RCL) module that guides the model to learn feature consistency under different perturbations and compact feature representations over class regions on unlabeled images. Extensive experimental results on multiple remote sensing datasets demonstrate that our proposed approach achieves superior performance compared with state-of-the-art semisupervised semantic segmentation methods.","1558-0644","","10.1109/TGRS.2023.3277203","National Natural Science Foundation of China(grant numbers:62171436); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128868","Contrastive regularization;label propagation;remote sensing images (RSIs);semantic segmentation;semisupervised learning (SSL)","Semantic segmentation;Training;Perturbation methods;Remote sensing;Prototypes;Reliability;Sensors","","7","","61","IEEE","17 May 2023","","","IEEE","IEEE Journals"
"Self-Attentive Local Aggregation Learning With Prototype Guided Regularization for Point Cloud Semantic Segmentation of High-Speed Railways","Z. Wang; Y. Geng; L. Jia; Y. Qin; Y. Chai; L. Tong; K. Liu","State Key Laboratory of Rail Traffic Control and Safety and the Key Laboratory of Railway Industry of Proactive Safety and Risk Control, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety and the Key Laboratory of Railway Industry of Proactive Safety and Risk Control, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety and the Key Laboratory of Railway Industry of Proactive Safety and Risk Control, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety and the Key Laboratory of Railway Industry of Proactive Safety and Risk Control, Beijing Jiaotong University, Beijing, China; JIT Research Institute, Changchun Jilin University Zhengyuan Information Technologies Company Ltd., Beijing, China; State Key Laboratory of Rail Traffic Control and Safety and the Key Laboratory of Railway Industry of Proactive Safety and Risk Control, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety and the Key Laboratory of Railway Industry of Proactive Safety and Risk Control, Beijing Jiaotong University, Beijing, China",IEEE Transactions on Intelligent Transportation Systems,"4 Oct 2023","2023","24","10","11157","11170","Point cloud semantic segmentation for railway infrastructures is an essential step towards establishing railway digital twins. Deep learning-based methods have shown great potential in this field compared to traditional methods that rely on hand-crafted features. However, deep learning-based methods for railway point clouds still face typical challenges that need to be addressed. In this regard, we propose a novel learning framework named SALAProNet, which consists of a set of effective and concise modular solutions. The first challenge addressed is the massive data scale of railway point clouds, which makes it difficult to directly process large-scale point clouds due to memory limitations. To solve this problem, we adapt efficient random sampling in the network and propose the Self-Attentive Aggregation (SAA) module based on an attention mechanism to greatly expand the receptive field, which covers the unsampled points and successfully retains information in a high-dimensional feature space. The second challenge is fine-grained segmentation, where we propose the Local Geometry Embedding (LGE) module to embed local geometry. With the help of context information provided by SAA, the network can perform fine-grained segmentation for railway infrastructures. The third challenge is the insufficient generalization ability of the network, where we propose a Prototype Guided Regularization (PGR) method to guide the network to segment the point cloud among railways with different construction standards. This method enhances the network’s interpretability and improves its generalization ability. We have validated our proposed framework through experiments on different datasets, and it outperforms state-of-the-art approaches.","1558-0016","","10.1109/TITS.2023.3281352","National Key Research and Development Program of China(grant numbers:2022YFB4300601); National Natural Science Foundation of China(grant numbers:61833002); Research Project of State Key Laboratory of Rail Traffic Control and Safety(grant numbers:RCS2022ZT005); Research Project of China State Railway Group Company Ltd.(grant numbers:P2022X001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10144473","Attention mechanism;digital twin;high-speed railway;infrastructure;point cloud semantic segmentation;prototype guided regularization","Point cloud compression;Rail transportation;Semantic segmentation;Wires;Geometry;Three-dimensional displays;Semantics","","4","","46","IEEE","5 Jun 2023","","","IEEE","IEEE Journals"
"RankMatch: Exploring the Better Consistency Regularization for Semi-Supervised Semantic Segmentation","H. Mai; R. Sun; T. Zhang; F. Wu",University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"16 Sep 2024","2024","","","3391","3401","The key lie in semi-supervised semantic segmentation is how to fully exploit substantial unlabeled data to im-prove the model's generalization performance by resorting to constructing effective supervision signals. Most methods tend to directly apply contrastive learning to seek additional supervision to complement independent regular pixel-wise consistency regularization. However, these methods tend not to be preferred ascribed to their complicated designs, heavy memory footprints and susceptibility to confirmation bias. In this paper, we analyze the bottlenecks exist in con-trastive learning-based methods and offer a fresh perspective on inter-pixel correlations to construct more safe and effective supervision signals, which is in line with the nature of semantic segmentation. To this end, we develop a coherent RankMatch network, including the construction of representative agents to model inter-pixel correlation beyond regular individual pixel-wise consistency, and fur-ther unlock the potential of agents by modeling inter-agent relationships in pursuit of rank-aware correlation consis-tency. Extensive experimental results on multiple bench-marks, including mitochondria segmentation, demonstrate that RankMatch performs favorably against state-of-the-art methods. Particularly in the low-data regimes, RankMatch achieves significant improvements.","2575-7075","979-8-3503-5300-6","10.1109/CVPR52733.2024.00326","National Defense Basic Scientific Research Program of China(grant numbers:JCKY2021601B013); Youth Innovation Promotion Association CAS(grant numbers:2018166); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10656404","","Learning systems;Computer vision;Correlation;Mitochondria;Semantic segmentation;Computational modeling;Contrastive learning","","3","","62","IEEE","16 Sep 2024","","","IEEE","IEEE Conferences"
"BRG: Bidirectional Regularization Guidance for Unsupervised Domain Adaptation Semantic Segmentation","C. Rao; W. Fan; X. Yang; X. Wei; D. Zhou","School of Software Engineering, National and Local Joint Engineering Laboratory of Computer Aided Design, Dalian University, Dalian, China; School of Software Engineering, National and Local Joint Engineering Laboratory of Computer Aided Design, Dalian University, Dalian, China; School of Computer Science and Technology, Dalian University of Technology, Dalian, China; School of Computer Science and Technology, Dalian University of Technology, Dalian, China; School of Software Engineering, National and Local Joint Engineering Laboratory of Computer Aided Design, Dalian University, Dalian, China",2024 International Joint Conference on Neural Networks (IJCNN),"9 Sep 2024","2024","","","1","9","Unsupervised Domain Adaptation Semantic Segmentation (UDASS) aims to harness labeled data from the source domain alongside unlabeled data from the target domain to effectively segment target domain images. While self-training has achieved tremendous success in UDASS, most existing methods heavily rely on source data and lack of sufficient learning from target data, resulting in a performance decline. To address this issue, this paper introduces a Bidirectional Regularization Guidance (BRG) method, which combines a Target Perturbation Consistency (TPC) module and a thing-class ImageNet Feature Distance Reweighting (FDR) module to provide effective regularization guidance. Specifically, the TPC module is introduced to perturb the target stream by masking at the input level and adding feature noise at the feature level. This module employs a target perturbation consistency loss to penalize inconsistencies between perturbed student predictions and teacher model predictions, thereby facilitating improved learning of contextual information by the student model from the target images. To further enhance the model’s generalization ability to the target domain, We propose an FDR module that employs a transferability map to calculate a reweighted graph, helping to effectively align source features with ImageNet features by reweighting the feature distances, especially those with lower transferability Through rigorous experimentation in standard UDASS settings—training with synthetic labeled and real unlabeled data—BRG outperforms baseline model on GTAV→Cityscapes and SYNTHIA→Cityscapes.","2161-4407","979-8-3503-5931-2","10.1109/IJCNN60899.2024.10651508","National Key Research and Development Program of China; National Natural Science Foundation of China; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10651508","Self-training;Semantic Segmentation;Unsupervised Domain Adaptation","Adaptation models;Perturbation methods;Semantic segmentation;Noise;Neural networks;Object detection;Predictive models","","","","44","IEEE","9 Sep 2024","","","IEEE","IEEE Conferences"
"Enhancing Lightweight Remote Sensing Semantic Segmentation via Weak Consistency Regularization","Z. Chen; S. Xiao; W. Man; D. -H. Wang; Y. He; S. Zhu","School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; Xiamen Key Laboratory of Visual Perception Technology and Applications, Reconova Technologies Co., Ltd, Xiamen, China; School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China",2024 International Joint Conference on Neural Networks (IJCNN),"9 Sep 2024","2024","","","1","8","Remote sensing image semantic segmentation has widespread applications in urban planning and land monitoring. In recent years, U-Net and its variant networks have almost dominated the research in the field of semantic segmentation. However, many models pay less attention to computational efficiency, rendering them ineffective in scenarios with computational resource and timeliness constraints, such as autonomous driving and disaster monitoring. To address this issue, we propose the USA-Net (UNet-like with Shifted Axial), a lightweight hybrid model based on convolution and MLP (Multi-Layer Perceptron). Specifically, we design the ST Block (Shift Tokenized Block), which introduces local features into global operations in MLP through spatial shift, and then use ELCM (Efficient Large-kernel Convolution Module) to enlarge the model’s receptive field and learn the shape features of objects. Additionally, we propose a new semi-supervised learning framework to further improve the model’s generalization performance. On the ISPRS Vaihingen and ISPRS Potsdam datasets, USA-Net significantly outperforms most state-of-the-art methods in terms of segmentation accuracy and efficiency.","2161-4407","979-8-3503-5931-2","10.1109/IJCNN60899.2024.10651009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10651009","semantic segmentation;remote sensing image;lightweight hybrid model;semi-supervised learning","Accuracy;Convolution;Shape;Semantic segmentation;Computational modeling;Urban planning;Semisupervised learning","","","","38","IEEE","9 Sep 2024","","","IEEE","IEEE Conferences"
"Consistency Regularization Based on Masked Image Modeling for Semisupervised Remote Sensing Semantic Segmentation","M. Cai; H. Chen; T. Zhang; Y. Zhuang; L. Chen","National Key Laboratory of Science and Technology on Space-Born Intelligent Information Processing, Beijing Institute of Technology, Beijing, China; National Key Laboratory of Science and Technology on Space-Born Intelligent Information Processing, Beijing Institute of Technology, Beijing, China; National Key Laboratory of Science and Technology on Space-Born Intelligent Information Processing, Beijing Institute of Technology, Beijing, China; National Key Laboratory of Science and Technology on Space-Born Intelligent Information Processing, Beijing Institute of Technology, Beijing, China; National Key Laboratory of Science and Technology on Space-Born Intelligent Information Processing, Beijing Institute of Technology, Beijing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"2 Oct 2024","2024","17","","17442","17460","Semisupervised semantic segmentation aims to effectively leverage both unlabeled and scare labeled images, reducing the reliance on labor-intensive pixel-level labeling for extensive training processes. The leading semisupervised learning method, consistency regularization, employs weak and strong data augmentations to diversify input representations. Ultimately the model is compelled to maintain consistent predictions across different input views, thus boosting the model's generalization. However, previous methods suffered from limited input representation space introduced by linear transformations such as cutmix. To address such issue, a consistency regularization based on masked image modeling (MIM) called MIMSeg is proposed to achieve accurate segmentation with limited labeled images. First, MIM pixel-wise perception with ViT encoder-decoder lays the foundation for expanding the data representation space. Second, collaborating with weak data augmentations, two MIM-related strong data augmentations are developed to generate more challenging input views for consistent predictions. Precisely, weak data augmentations are employed to replicate input views from various perspectives while a controllable generative strong data augmentation called masked image reconstruction (MIR) is crafted to simulate multiple imaging diversity while preserving the original semantic information intact. In addition, a more severe strong data augmentation masked context perturbation (MCP) is designed to further generate more challenging input views and alleviate semantic deficiency via masked category prediction. Leveraging the MIM perception and two MIM-related strong data augmentations, the model is compelled to achieve consistency predictions across diverse input views from weak data augmentations, MIR and MCP. These components result in the generation of more stable pixel-level pseudo-labels and facilitate collaborative training between unlabeled and labeled images. Extensive experiments have shown that MIMSeg can achieve state-of-the-art performance in pixel-level prediction with very limited sample annotations.","2151-1535","","10.1109/JSTARS.2024.3435509","General Program of the National Natural Science Foundation of China(grant numbers:62371048); National Science Foundation for Young Scientists of China(grant numbers:62101046,JCKY2021602B037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10623542","Consistency regularization;masked image modeling (MIM);semisupervised semantic segmentation","Semantics;Data augmentation;Semantic segmentation;Data models;Training;Predictive models;Imaging","","","","86","CCBYNCND","5 Aug 2024","","","IEEE","IEEE Journals"
"Learnable contextual regularization for semantic segmentation of indoor scene images","J. Chu; X. Xiao; G. Meng; L. Wang; C. Pan","Institute of Computer Vision, Nanchang Hangkong University; National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences",2017 IEEE International Conference on Image Processing (ICIP),"22 Feb 2018","2017","","","1267","1271","Semantic segmentation of indoor scene images has a wide range of applications. However, due to a large number of classes and uneven distribution in indoor scenes, mislabels are often made when facing small objects or boundary regions. Technically, contextual information may benefit for segmentation results, but has not yet been exploited sufficiently. In this paper, we propose a learnable contextual regularization model for enhancing the semantic segmentation results of color indoor scene images. This regularization model is combined with a deep convolutional segmentation network without significantly increasing the number of additional parameters. Our model, derived from the inherent contextual regularization on the indoor scene objects, benefits much from the learnable constraint layers bridging the lower layers and the higher layers in the deep convolutional network. The constraint layers are further integrated with a weighted L1-norm based contextual regularization between the neighboring pixels of RGB values to improve the segmentation results. Experimental results on NYUDv2 indoor scene dataset demonstrate the effectiveness and efficiency of the proposed method.","2381-8549","978-1-5090-2175-8","10.1109/ICIP.2017.8296485","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8296485","Deep convolutional neural networks;Semantic segmentation;Contextual constraints;End-to-end training","Image segmentation;Semantics;Kernel;Training;Task analysis;Computer architecture;Convolution","","","","28","IEEE","22 Feb 2018","","","IEEE","IEEE Conferences"
"Consistency Regularization for Semi-Supervised Semantic Segmentation of Flood Regions From SAR Images","G. Savitha; S. Girisha; P. Sughosh; D. K. Shetty; J. Mymbilly Balakrishnan; R. Paul; N. Naik","Department of Data Science and Computer Applications, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Data Science and Computer Applications, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Civil Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Data Science and Computer Applications, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Emergency Medicine, Kasturba Medical College, Manipal Academy of Higher Education, Manipal, India; Department of Radiation Oncology, Massachusetts General Hospital, Boston, MA, USA; Department of Mechanical and Industrial Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India",IEEE Access,"17 Jan 2025","2025","13","","9642","9653","As one of the most powerful natural catastrophes, floods pose serious risks to people’s lives, the integrity of infrastructure, and agricultural landscapes, which increases the toll they take on the economy and society. As a result, it becomes essential to continuously monitor these areas of vulnerability in order to support effective disaster response and mitigation efforts. Accurately defining the extent of floods is a problem for traditional flood mapping approaches, which emphasizes the vital need for modern technologies such as Synthetic Aperture Radar (SAR) imaging. Additionally, there is a need to develop computer-aided tools specifically designed for automatically identifying areas that are vulnerable to flooding using SAR data. Nonetheless, the lack of consistent large datasets presents a barrier that prevents these algorithms from progressing and being used in real-world scenarios. For this reason, the present study aims to develop a semi-supervised semantic segmentation algorithm for accurate flood region delineation in SAR data. In particular, the paper proposes labeling unannotated instances of data using a pseudo-label generation strategy. In order to accomplish this, the study suggests using a self-supervised trained teacher model to generate pseudo-labels and speed up the training procedure. The teacher model is then trained with a student model to efficiently extract features from the labeled data. Furthermore, the study presents a new semantic segmentation technique that uses convolutional neural networks to automatically identify flooded areas in SAR images. A comprehensive assessment conducted on publicly available datasets produces promising results. These results confirm the usefulness and possible relevance of the suggested methodology in enhancing efforts related to flood zone identification and management.","2169-3536","","10.1109/ACCESS.2025.3526244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10829568","Semi-supervised learning;flood mapping;SAR images;semantic segmentation","Floods;Radar polarimetry;Semantic segmentation;Feature extraction;Synthetic aperture radar;Semantics;Noise;Data models;Semisupervised learning;Accuracy","","","","51","CCBY","6 Jan 2025","","","IEEE","IEEE Journals"
